official_id,full_name,league_id,primary_conference,experience_years
cbb-mike-stevens-168,Mike Stevens,cbb,Big East,1
cbb-juan-corral-169,Juan Corral,cbb,Big 12,1
cbb-kerby-sitton-172,Kerby Sitton,cbb,Big 12,1
cbb-ryan-natili-173,Ryan Natili,cbb,Big 12,1
cbb-jeff-malham-174,Jeff Malham,cbb,Big 12,1
cbb-art-vaulk-177,Art Vaulk,cbb,Big 12,1
cbb-tim-garrett-186,Tim Garrett,cbb,SEC,1
cbb-nathan-bemis-188,Nathan Bemis,cbb,SEC,1
cbb-wallace-rutecki-jr-192,Wallace Rutecki Jr.,cbb,ACC,1
cbb-kenneth-stephens-194,Kenneth Stephens,cbb,Big East,1
cbb-ken-ditty-212,Ken Ditty,cbb,Other,1
cbb-tom-nally-214,Tom Nally,cbb,Big Ten,1
cbb-chad-harlow-216,Chad Harlow,cbb,Big Ten,1
cbb-ed-phillips-221,Ed Phillips,cbb,Big Ten,1
cbb-brian-shore-222,Brian Shore,cbb,Big Ten,1
cbb-whetstone-king-223,Whetstone King,cbb,Big Ten,1
cbb-robert-riley-jr-224,Robert Riley Jr.,cbb,Big Ten,1
cbb-eric-dalon-226,Eric Dalon,cbb,Big Ten,1
cbb-william-henderson-230,William Henderson,cbb,Big East,1
cbb-john-laroca-234,John LaRoca,cbb,Big 12,1
cbb-chris-chumley-236,Chris Chumley,cbb,Big 12,1
cbb-raymond-tate-237,Raymond Tate,cbb,Big 12,1
cbb-christopher-erlo-238,Christopher Erlo,cbb,Big 12,1
cbb-zelton-steed-240,Zelton Steed,cbb,Big 12,1
cbb-floyd-shuler-243,Floyd Shuler,cbb,Big 12,1
cbb-garrett-shannon-249,Garrett Shannon,cbb,SEC,1
cbb-nick-heater-250,Nick Heater,cbb,ACC,1
cbb-tim-conner-253,Tim Conner,cbb,ACC,1
cbb-dwayne-gladden-254,Dwayne Gladden,cbb,Big East,1
cbb-scott-abrogast-255,Scott Abrogast,cbb,Big East,1
cbb-tony-mornsey-260,Tony Mornsey,cbb,ACC,1
cbb-jason-alabanza-270,Jason Alabanza,cbb,Other,1
cbb-travis-schatzman-271,Travis Schatzman,cbb,Other,1
cbb-keith-lewis-274,Keith Lewis,cbb,Big Ten,1
cbb-josh-white-277,Josh White,cbb,Big Ten,1
cbb-karl-walfon-281,Karl Walfon,cbb,Big Ten,1
cbb-luke-chittum-282,Luke Chittum,cbb,Big Ten,1
cbb-todd-von-sossan-283,Todd Von Sossan,cbb,Big Ten,1
cbb-mike-paulu-286,Mike Paulu,cbb,Big East,1
cbb-ryan-christian-287,Ryan Christian,cbb,Big East,1
cbb-john-stigliann-288,John Stigliann,cbb,Big 12,1
cbb-michael-walker-290,Michael Walker,cbb,Big 12,1
cbb-trent-dews-292,Trent Dews,cbb,Big 12,1
cbb-michael-husted-293,Michael Husted,cbb,Big 12,1
